INVOICE_MONTH,SHIP_TO_ACCOUNT_NUMBER,SHIP_TO_ACCOUNT_NAME,SHIP_TO_CUSTOMER_TIER,SHIP_TO_SALES_REGION,SHIP_TO_SALES_REGION_DESCRIPTION,SHIP_TO_SALES_DISTRICT,SHIP_TO_SALES_DISTRICT_DESCRIPTION,SHIP_TO_SALES_TERRITORY,SHIP_TO_SALES_TERRITORY_DESCRIPTION,SHIP_TO_CITY,SHIP_TO_STATE,SHIP_TO_POSTAL_CODE,SHIP_TO_SPECIAL_GROUP,SHIP_TO_SPECIAL_GROUP_DESCRIPTION,SKU,SPECIES,PRODUCT_FORM,DISEASE_CATEGORY,PRODUCT_LINE,BRAND_CODE,BRAND_NAME,ECC_SALES_USD
2023-06-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-2337,N/A,Bag,Beverages,Beverages,QUI,QuickMart,3456.3200101984867
2023-06-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3097,N/A,Bag,Beverages,Beverages,ECO,EcoClean,2407.9708824986765
2023-07-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-1425,N/A,Bag,Snacks,Snacks,BRI,BrightTech,1441.8684782071834
2023-08-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3668,N/A,Bottle,Personal Care,Personal Care,ECO,EcoClean,2221.945262904746
2023-09-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-8449,N/A,Bag,Household,Household,FRE,FreshWave,623.0528468784344
2023-10-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-5522,N/A,Packaged,Household,Household,QUI,QuickMart,1821.5723283363561
2023-10-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-7181,N/A,Packaged,Beverages,Beverages,QUI,QuickMart,2617.482252517125
2023-10-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-7349,N/A,Packaged,Household,Household,QUI,QuickMart,3910.899484653497
2023-11-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-8393,N/A,Bottle,Household,Household,BRI,BrightTech,1868.3927306180524
2023-11-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-9003,N/A,Packaged,Electronics,Electronics,BRI,BrightTech,1883.486361222426
2023-12-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-6192,N/A,Box,Household,Household,BRI,BrightTech,1094.7202549498231
2023-12-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3073,N/A,Packaged,Household,Household,SNA,Snackify,0.0
2023-12-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-1516,N/A,Bulk,Beverages,Beverages,FRE,FreshWave,1783.6493548697742
2024-01-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-2364,N/A,Packaged,Personal Care,Personal Care,SNA,Snackify,3717.8849610670777
2024-01-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-2228,N/A,Box,Snacks,Snacks,BRI,BrightTech,2261.2009629286363
2024-01-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-2142,N/A,Bag,Household,Household,QUI,QuickMart,2192.93075835848
2024-02-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-9677,N/A,Packaged,Snacks,Snacks,ECO,EcoClean,1000.126494380389
2024-03-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-9031,N/A,Bottle,Electronics,Electronics,SNA,Snackify,1117.3710686187567
2024-03-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-1438,N/A,Bag,Personal Care,Personal Care,SNA,Snackify,2200.249506809198
2024-04-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-4224,N/A,Bag,Household,Household,SNA,Snackify,2030.9394111727106
2024-05-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-6982,N/A,Packaged,Personal Care,Personal Care,ECO,EcoClean,2482.7756980094664
2024-05-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-6596,N/A,Bulk,Electronics,Electronics,ECO,EcoClean,5007.050465060487
2024-05-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-2416,N/A,Bulk,Electronics,Electronics,FRE,FreshWave,3051.400839383013
2024-06-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-9412,N/A,Bulk,Household,Household,ECO,EcoClean,946.778027866965
2024-06-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-5878,N/A,Bottle,Snacks,Snacks,FRE,FreshWave,0.0
2024-07-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3517,N/A,Bottle,Electronics,Electronics,FRE,FreshWave,1765.190477403002
2024-07-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-2042,N/A,Bulk,Electronics,Electronics,FRE,FreshWave,3268.1296316972566
2024-08-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-5491,N/A,Packaged,Personal Care,Personal Care,QUI,QuickMart,2193.3156658223907
2024-08-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-8807,N/A,Bag,Beverages,Beverages,ECO,EcoClean,3197.766950563927
2024-09-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3150,N/A,Packaged,Household,Household,QUI,QuickMart,471.6817732807333
2024-09-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-6655,N/A,Box,Snacks,Snacks,FRE,FreshWave,2473.993920321762
2024-10-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-8985,N/A,Bag,Personal Care,Personal Care,FRE,FreshWave,3178.0873986704382
2024-11-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-7309,N/A,Bulk,Snacks,Snacks,SNA,Snackify,3565.117516414516
2024-12-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-7196,N/A,Bulk,Beverages,Beverages,FRE,FreshWave,1528.2408272299567
2024-12-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-5817,N/A,Bulk,Beverages,Beverages,BRI,BrightTech,594.8988596162303
2025-01-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-4711,N/A,Bulk,Personal Care,Personal Care,FRE,FreshWave,2573.973171516854
2025-01-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-8728,N/A,Bottle,Snacks,Snacks,SNA,Snackify,1934.3873811030987
2025-02-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-6810,N/A,Bulk,Personal Care,Personal Care,SNA,Snackify,2975.123892200645
2025-02-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-6379,N/A,Bulk,Electronics,Electronics,FRE,FreshWave,4316.573899858914
2025-02-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-8818,N/A,Bulk,Electronics,Electronics,SNA,Snackify,1451.111822594191
2025-03-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-6823,N/A,Bulk,Household,Household,ECO,EcoClean,1515.6913929395132
2025-04-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-5783,N/A,Box,Beverages,Beverages,BRI,BrightTech,1056.2940597824622
2025-04-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3758,N/A,Bag,Beverages,Beverages,BRI,BrightTech,1737.7907271213194
2025-04-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3160,N/A,Bulk,Beverages,Beverages,SNA,Snackify,2471.6399449290384
2025-05-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-1519,N/A,Bag,Personal Care,Personal Care,QUI,QuickMart,2553.8798995171283
2025-06-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-2779,N/A,Box,Beverages,Beverages,QUI,QuickMart,3097.646258906651
2025-06-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3490,N/A,Bag,Snacks,Snacks,SNA,Snackify,6516.24022374629
2025-07-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-7013,N/A,Bulk,Snacks,Snacks,FRE,FreshWave,3244.3751177412464
2025-07-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-4080,N/A,Bottle,Personal Care,Personal Care,SNA,Snackify,4337.887587023784
2025-07-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-9764,N/A,Box,Electronics,Electronics,FRE,FreshWave,4155.135885011391
2025-08-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3746,N/A,Packaged,Beverages,Beverages,BRI,BrightTech,0.0
2025-08-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-2494,N/A,Bag,Personal Care,Personal Care,SNA,Snackify,6103.2494326810565
2025-09-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-6341,N/A,Bag,Personal Care,Personal Care,BRI,BrightTech,2929.40230144752
2025-09-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-9424,N/A,Packaged,Personal Care,Personal Care,QUI,QuickMart,0.0
2025-09-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-2562,N/A,Bulk,Snacks,Snacks,QUI,QuickMart,2099.8719760484537
2025-10-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3300,N/A,Bottle,Electronics,Electronics,ECO,EcoClean,2884.1136808214005
2025-11-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-9589,N/A,Packaged,Household,Household,BRI,BrightTech,1641.918985098002
2025-11-01,56499,Kirk-Lewis Store,C,R3,East,D5,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-3271,N/A,Bulk,Household,Household,FRE,FreshWave,2848.616838964387
2025-11-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-2388,N/A,Bag,Household,Household,FRE,FreshWave,4215.803123169525
2025-12-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-9225,N/A,Bulk,Snacks,Snacks,ECO,EcoClean,277.1438794749738
2023-01-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-4024,N/A,Packaged,Household,Household,ECO,EcoClean,2004.8477888327152
2023-02-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-7661,N/A,Bottle,Beverages,Beverages,FRE,FreshWave,769.7366426935707
2023-02-01,31560,Moore PLC Store,B,R2,South,D2,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-2216,N/A,Bottle,Beverages,Beverages,FRE,FreshWave,3248.123802594021
2023-03-01,31560,Moore PLC Store,B,R2,South,D2,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-8387,N/A,Bottle,Beverages,Beverages,ECO,EcoClean,2666.607121333891
2023-03-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-7159,N/A,Bulk,Household,Household,QUI,QuickMart,2833.9705498452176
2023-04-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-8060,N/A,Packaged,Snacks,Snacks,FRE,FreshWave,2814.6626973917037
2023-05-01,31560,Moore PLC Store,B,R2,South,D4,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-5370,N/A,Bottle,Personal Care,Personal Care,SNA,Snackify,2320.759082347006
2023-05-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-6651,N/A,Packaged,Beverages,Beverages,ECO,EcoClean,0.0
2023-05-01,31560,Moore PLC Store,B,R2,South,D5,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-7609,N/A,Packaged,Electronics,Electronics,FRE,FreshWave,2537.5872386517435
2023-06-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-9770,N/A,Box,Beverages,Beverages,QUI,QuickMart,2876.2060027829157
2023-07-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-9332,N/A,Box,Electronics,Electronics,FRE,FreshWave,1605.3323611007531
2023-07-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-6438,N/A,Bulk,Beverages,Beverages,FRE,FreshWave,1897.301776578674
2023-07-01,31560,Moore PLC Store,B,R2,South,D2,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-5848,N/A,Bottle,Snacks,Snacks,SNA,Snackify,544.5081887376537
2023-08-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-1450,N/A,Packaged,Beverages,Beverages,SNA,Snackify,2471.058993880776
2023-09-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-2306,N/A,Bottle,Household,Household,SNA,Snackify,679.7961339612748
2023-09-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-4218,N/A,Bottle,Snacks,Snacks,ECO,EcoClean,2030.3206745005173
2023-10-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-3328,N/A,Bag,Personal Care,Personal Care,FRE,FreshWave,4187.531240413924
2023-10-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-2807,N/A,Box,Snacks,Snacks,SNA,Snackify,1515.747292775135
2023-11-01,31560,Moore PLC Store,B,R2,South,D4,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-2632,N/A,Bulk,Beverages,Beverages,QUI,QuickMart,645.05256487509
2023-11-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-1123,N/A,Bottle,Beverages,Beverages,QUI,QuickMart,2116.1053657404273
2023-12-01,31560,Moore PLC Store,B,R2,South,D2,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-5920,N/A,Bottle,Electronics,Electronics,FRE,FreshWave,0.0
2023-12-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-3658,N/A,Bulk,Personal Care,Personal Care,ECO,EcoClean,2898.0718450469894
2024-01-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-7259,N/A,Packaged,Snacks,Snacks,QUI,QuickMart,1068.9037591232882
2024-01-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-9966,N/A,Box,Electronics,Electronics,ECO,EcoClean,1928.9454469743694
2024-02-01,31560,Moore PLC Store,B,R2,South,D4,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-5151,N/A,Box,Household,Household,BRI,BrightTech,1637.7680207139306
2024-02-01,31560,Moore PLC Store,B,R2,South,D5,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-9998,N/A,Bulk,Beverages,Beverages,FRE,FreshWave,2058.634816072589
2024-03-01,31560,Moore PLC Store,B,R2,South,D4,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-8737,N/A,Bulk,Household,Household,QUI,QuickMart,3851.288688612468
2024-04-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-3203,N/A,Bottle,Household,Household,FRE,FreshWave,1801.1640622059406
2024-05-01,31560,Moore PLC Store,B,R2,South,D5,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-2184,N/A,Box,Snacks,Snacks,BRI,BrightTech,2445.5241872609377
2024-05-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-8060,N/A,Bulk,Household,Household,ECO,EcoClean,1784.558456162845
2024-05-01,31560,Moore PLC Store,B,R2,South,D2,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-9122,N/A,Box,Personal Care,Personal Care,FRE,FreshWave,0.0
2024-06-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-9875,N/A,Box,Snacks,Snacks,ECO,EcoClean,2892.3011962532946
2024-06-01,31560,Moore PLC Store,B,R2,South,D2,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-2444,N/A,Bag,Snacks,Snacks,FRE,FreshWave,917.3623740835963
2024-07-01,31560,Moore PLC Store,B,R2,South,D4,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-3971,N/A,Bag,Snacks,Snacks,SNA,Snackify,1774.0653588394096
2024-07-01,31560,Moore PLC Store,B,R2,South,D2,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-8005,N/A,Bulk,Personal Care,Personal Care,FRE,FreshWave,2063.7877548034944
2024-08-01,31560,Moore PLC Store,B,R2,South,D1,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-3648,N/A,Bottle,Electronics,Electronics,FRE,FreshWave,703.3168771579101
2024-08-01,31560,Moore PLC Store,B,R2,South,D4,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-6430,N/A,Packaged,Electronics,Electronics,QUI,QuickMart,3633.087028527258
2024-09-01,31560,Moore PLC Store,B,R2,South,D5,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-2304,N/A,Bag,Household,Household,BRI,BrightTech,1633.4817388605775
2024-10-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-7194,N/A,Packaged,Personal Care,Personal Care,ECO,EcoClean,1142.3571332029012
2024-10-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-1664,N/A,Box,Beverages,Beverages,SNA,Snackify,970.9268139913911
2024-11-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-7586,N/A,Bottle,Electronics,Electronics,QUI,QuickMart,2454.1136339550044
2024-11-01,31560,Moore PLC Store,B,R2,South,D3,South District,TERR-1,TERR-1 Description,Rossmouth,SD,87576,Promo,Promo Group,SKU-2773,N/A,Box,Personal Care,Personal Care,SNA,Snackify,2444.86121460702
